productId,userId,reviewHelpfulness,reviewRatings,reviewDates,reviewTitles,reviewTexts
B001GVISJM,['A1CZX3CP8IKQIJ'],0.8,['5.0'],['2009-12-29 00:00:00'],"['Lots of twizzlers, just what you expect.']","[""My daughter loves twizzlers and this shipment of six pounds really hit the spot. It's exactly what you would expect...six packages of strawberry twizzlers.""]"
B001EO5QW8,"['A3MGP2E1ZZ6GRB', 'A17DW6SUOC70DJ']",1.0,"['5.0', '5.0']","['2009-03-31 00:00:00', '2009-10-13 00:00:00']","[""it's oatmeal"", 'Good Hot Breakfast']","[""What else do you need to know? Oatmeal, instant (make it with a half cup of low-fat milk and add raisins;nuke for 90 seconds). More expensive than Kroger store brand oatmeal and maybe a little tastier or better texture or something. It's still just oatmeal. Mmm, convenient!"", ""McCann's Oatmeal is a good quality choice.  Our favorite is the Apples and Cinnamon, but we find that none of these are overly sugary.  For a good hot breakfast in 2 minutes, this is excellent.""]"
B000G6RPMY,['A3S5KJDA6ED2PS'],1.0,['5.0'],['2009-06-02 00:00:00'],['HOT!  And good!  Came back for more  '],"['Got a free package of these with a bottle of bloody mary mix I bought from the seller, and the advertising worked..lol,  I tried them, and shared them with 2 buddies, and we all loved them...  So im here to buy more, and noticed there were no reviews yet,...  well now there is.  They are Hot,  but not ""burn your mouth forever hot""  its a nice temp...  Perfect for us..']"
B001GVISJC,['A27TKQHFW0FB5N'],1.0,['5.0'],['2009-10-01 00:00:00'],['Great Gummi!'],"[""These Albanese gummi bears and rings and so on are very good and tasty and high quality. The bears even have little faces. At my local candy store this type of gummi stuff (bears, rings, snakes, balls, worms, whatever) are about $10/lb. These twin packs of 4.5 or 5 pound bags is a screaming deal as far as I'm concerned. I'm probably 50 pounds deep in these friggin' things. Consumed!""]"
B004K2IHUO,"['A1SYSKR79LA2CB', 'A3D1TXE98KRKYO', 'A1ZKFQLHFZAEH9']",1.7166666666666668,"['5.0', '4.0', '3.0']","['2009-01-27 00:00:00', '2009-10-26 00:00:00', '2009-03-07 00:00:00']","['Taste wise it is a 6 star item', 'Great Support', 'disappointing']","['The mouth says, ""How do I love thee, let me count the ways...""<br />If you like apple products a must have item.  The only draw back, shipping cost.  These are very heavy.', ""Arrived slightly thawed. My parents wouldn't accept it. However, the company was very helpful and issued a full refund."", ""not what I was expecting in terms of the company's reputation for excellent home delivery products""]"
B001REEG6C,['A10EHUTGNC4BGP'],1.0,['5.0'],['2009-05-31 00:00:00'],['Asparagus Bliss'],"[""I love asparagus.  Up until very recently, I had never had pickled asparagus.  Oh my goodness, when a friend introduced me to this exact brand, I couldn't believe how great stuff tasted.  I loved it so much I bought the six pack.  I've got 2 jars left.  Gonna need more!!""]"
B000J0HIT2,['A1VKJN5Y1C7S5Y'],1.0,['2.0'],['2009-08-21 00:00:00'],['Low Carb Angel Food Puffs'],"['I was diappointed in the flavor and texture of this mix.  I usually like most of the Low Carb things I have tried, but was diappointed in this specific one.']"
B0017I8UME,['A2NH6XPAZG881D'],1.0,['5.0'],['2009-04-18 00:00:00'],['Sweet with a nice kick!'],"[""Being a fan of Newman's Pineapple salsa for quite a while, I was looking for a comparable salsa.  This is one of the best tasting salsas I've ever had.  My daughters love it too.  They don't like super chunky salsa and the Berry Mango has a nice smooth texture with small mango pieces.  The salsa is not too sweet, just sweet enough and although it's mild, it has a nice little kick to it.  At this price, it's a steal!""]"
B000ITVLE2,['A3NID9D9WMIV01'],0.8947368421052632,['5.0'],['2009-12-06 00:00:00'],['tastes very fresh'],"['<span class=""tiny""> Length']"
B001IUKD76,['A2K8UBI64T0BM8'],1.0,['5.0'],['2009-12-30 00:00:00'],['Delicious!'],"['I first had this drink when my mother brought it back with her from a visit to her home in Brittany France and thought it was delicious!  I wish it were a bit cheaper but other than that, I love this product!']"
B001KUUNP6,['A317BY3IPZ83MJ'],1.0,['5.0'],['2009-02-25 00:00:00'],['Garbonzo  Bean Flour'],['This  is great stuff.  Made some really tasty banana bread.  Good quality and lowest price in town.']
B00029XIZI,['A2S72TUJDQUBMH'],0,['5.0'],['2009-03-04 00:00:00'],['Miracle'],"[""My Scotties were full of hot spots and when I used this within a week all the hot spots were gone. The smell is kinda strong, but not bad. It's tolerablel.""]"
B001EO5ZMY,['A3E81HFGNME65J'],0.1111111111111111,['2.0'],['2009-06-20 00:00:00'],['Disappointed'],"[""I've been drinking this tea for the past 8 or 10 years, usually buying a box or two when visiting large metropolitan areas, where many Middle-Eastern stores carry loose Ahmad teas, usually at $5-7 for a pound box.  I've always considered it an unremarkable but robust tea, with enough aroma and taste, and beautiful reddish color, perhaps not good enough a tea to drink on its own, but a decent base for mixes.<br />This tea, however, is nothing of the sort. Freshly opened package has almost no characteristic tea smell, and the brewed tea is weak, flat and tasteless.  Somehow it just does not seem to be the same product anymore. So, you get a lot of tea for the money, but the quality is such that you might as well drink Lipton bags, they are not that much worse.""]"
B000LKZK7C,"['AUUWUS51SMMT4', 'A1YZV2UY0QDZTX']",0.5,"['4.0', '5.0']","['2009-12-15 00:00:00', '2009-09-24 00:00:00']","['Great product - weak packaging', 'Excellent!']","['Can\'t say anything bad about Sugar in the Raw.  I like it better than the other ""natural"" sugars. Better consistency and - I know it doesn\'t matter - but better color. Unfortunately, one of the ""natural"" paper bags got torn a bit in the box.  It didn\'t look like the box was damaged so I can\'t tell how it happened, but it was sort of pain to clean up half a bag that spilled all over the inside of the box and our kitchen when I opened it.  Not sure what the solution is and I\'d order it again, but if it happens again, I\'d switch to one of the brands that ship in an unnatural plastic bag.', 'Great service! Items arrived faster than expected. Very efficient! Will use this seller again. I highly recommend this seller! Thank you for the excellent service!']"
B001D07IPG,['AQX8FF2YCO3J7'],0,['5.0'],['2009-07-14 00:00:00'],['Excellent Taste'],"[""This is one of the best tasting crisps I have ever eaten! I only buy it on special occassions because I know I'll eat the whole bag.""]"
B000H13270,['A3J6I70Z9Q0HRX'],0.3333333333333333,['5.0'],['2009-12-26 00:00:00'],"[""it's fabulous, but *not* from amazon!""]",['the price on this product certainly raises my attention on compairing amazon price with the local stores. i can get a can of this rotel at my local kroger for $1. dissapointing!']
B001UJEN6C,"['A1R2P21ZYNJCFJ', 'AREOHWLWVX0A8']",1.6904761904761905,"['3.0', '3.0']","['2009-11-20 00:00:00', '2009-12-05 00:00:00']","['Not sure', ""Doesn't taste that good but provides you the energy""]","[""I am a energy junkie and I'm not sure if this works or not, but what I do know is that the taste is not the greatest. I do drink the steaz energy drink and I think I get the same results. I like this products because it is  more natural then the others."", 'I purchased it because it was on sale. In terms of the energy it provides, it works, but the taste leaves something to be desired. I tried mixing it with some water to make it more drinkable.']"
B000O9Y62A,['A89KN0ADLUNPW'],0,['5.0'],['2009-08-14 00:00:00'],['Hot and delicious'],"['I consume about a jar every two weeks of this, either adding it to fajitas or using it as a corn chip dip.  It is hot, but after awhile the medium Salsa Suprema was too mild for me; I thought maybe I\'d cut down how much I ate by going to the hot Salsa Ranchera.  It\'s hot enough that people who aren\'t used to it will say ""That\'s hot!"".<br /><br />Flavor']"
B000JEHAHS,['A2MMFEZ728S1MA'],0.0,['3.0'],['2009-01-20 00:00:00'],['arrived FAST'],"['I was amazed at how quickly it arrived!  It is a cute stocking stuffer, but only OK as far as user appeal.  You get what you pay for.']"
B000SEJ84M,['A19Y7MSOR2J7XP'],0,['5.0'],['2009-11-19 00:00:00'],['The product is great but the price is out of line'],"[""I've purchased dozens of bags of this pancake mix (which is a great product, by the way).  This is the highest price I've seen.  Whole Foods carries this item and it's been on sale there for $9.99 (that's Canadian dollars, too, as I'm in Canada).  It's even cheaper on Baker's Box's own website, and they're the company selling this product through Amazon. For a two-pack they should be charging $20 or less.  What gives?  I thought Amazon was where you could find competitive prices.""]"
B001ESOQA2,['AC8PTTE9SEU9E'],0,['4.0'],['2009-02-17 00:00:00'],['Valentine gift winner'],"[""I bought these for my boyfriend who really likes honey roasted pecans in salads that I have at a couple of restaurants. Plus, he likes nuts, pecans, almonds peanuts. He loved these. I actually ordered 3 cans instead of the gift tin, so he could take one to work, or his place, and stay fresh longer. Although I don't think freshness will be an issue, they won't last long......lol""]"
B001ELL6O8,['A1ORGHJ9LSZB03'],0,['4.0'],['2009-11-27 00:00:00'],['Good for Egg Allergy'],['We are glad we found this mix as we make pancakes without eggs for my son who has an allergy.<br />They taste fine for our family- we like them many ways!']
